"id","siafi_code"
l10n_br_base.city_2913606,3573
l10n_br_base.city_2913705,3575
l10n_br_base.city_2913804,3577
l10n_br_base.city_2913903,3579
l10n_br_base.city_2914000,3581
l10n_br_base.city_2914109,3583
l10n_br_base.city_2914208,3585
l10n_br_base.city_2914307,3587
l10n_br_base.city_2914406,3589
l10n_br_base.city_2914505,3591
l10n_br_base.city_2914604,3593
l10n_br_base.city_2914653,3279
l10n_br_base.city_2914703,3595
l10n_br_base.city_2914802,3597
l10n_br_base.city_2914901,3599
l10n_br_base.city_2915007,3601
l10n_br_base.city_2915106,3603
l10n_br_base.city_2915205,3605
l10n_br_base.city_2915304,3607
l10n_br_base.city_2915353,3281
l10n_br_base.city_2915403,3609
l10n_br_base.city_2915502,3611
l10n_br_base.city_2915601,3613
l10n_br_base.city_2915700,3615
l10n_br_base.city_2915809,3617
l10n_br_base.city_2915908,3619
l10n_br_base.city_2916005,3621
l10n_br_base.city_2916104,3623
l10n_br_base.city_2916203,3625
l10n_br_base.city_2916302,3627
l10n_br_base.city_2916401,3629
l10n_br_base.city_2916500,3631
l10n_br_base.city_2916609,3633
l10n_br_base.city_2916708,3635
l10n_br_base.city_2916807,3637
l10n_br_base.city_2916856,3283
l10n_br_base.city_2916906,3639
l10n_br_base.city_2917003,3641
l10n_br_base.city_2917102,3643
l10n_br_base.city_2917201,3645
l10n_br_base.city_2917300,3647
l10n_br_base.city_2917334,3285
l10n_br_base.city_2917359,9859
l10n_br_base.city_2917409,3649
l10n_br_base.city_2917508,3651
l10n_br_base.city_2917607,3653
l10n_br_base.city_2917706,3655
l10n_br_base.city_2917805,3657
l10n_br_base.city_2917904,3659
l10n_br_base.city_2918001,3661
l10n_br_base.city_2918100,3663
l10n_br_base.city_2918209,3665
l10n_br_base.city_2918308,3667
l10n_br_base.city_2918357,3099
l10n_br_base.city_2918407,3669
l10n_br_base.city_2918456,3287
l10n_br_base.city_2918506,3671
l10n_br_base.city_2918555,3069
l10n_br_base.city_2918605,3673
l10n_br_base.city_2918704,3675
l10n_br_base.city_2918753,3289
l10n_br_base.city_2918803,3677
l10n_br_base.city_2918902,3679
l10n_br_base.city_2919009,3681
l10n_br_base.city_2919058,3291
l10n_br_base.city_2919108,3683
l10n_br_base.city_2919157,3973
